team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Cowboys,DAL,10,,HB,553386217,Jaydon Blue,1,0,10493,23,4,8.50,4,57.14,3,21,0,49,45,12.25,11.25,4.09
Cowboys,DAL,10,,TE,553386031,Davis Allen,3,0,852,80,2,3.20,2,100.00,0,7,0,5,12,2.50,6.00,1.09
Cowboys,DAL,10,,FB,553387623,Hunter Luepke,3,0,2291,40,5,13.60,5,100.00,0,12,1,9,26,1.80,5.20,2.36
Cowboys,DAL,10,,WR,553387815,Jonathan Mingo,3,0,2314,81,1,1.70,1,100.00,0,7,0,3,7,3.00,7.00,0.64
Cowboys,DAL,10,,TE,553388340,Luke Schoonmaker,3,0,2384,86,8,34.80,15,78.95,4,46,0,77,198,5.13,13.20,19.80
Cowboys,DAL,10,,TE,553386794,Jake Ferguson,4,0,1577,87,8,64.20,25,92.59,2,26,1,85,332,3.40,13.28,30.18
Cowboys,DAL,10,,WR,553387519,CeeDee Lamb,6,0,418,88,11,130.30,39,95.12,2,60,4,261,673,6.69,17.26,61.18
Cowboys,DAL,10,,HB,553386652,J.K. Dobbins,6,0,257,31,5,23.80,5,100.00,0,47,2,59,68,11.80,13.60,6.18
Cowboys,DAL,10,,WR,553387800,Scott Miller,7,0,460,13,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,,WR,553388814,Justin Watson,8,0,9355,84,3,9.50,5,83.33,1,14,0,15,45,3.00,9.00,4.50
Dolphins,MIA,11,,WR,553387642,Jameson Austin,0,0,3358,2,1,6.80,4,80.00,1,9,0,2,28,0.50,7.00,5.60
Dolphins,MIA,11,,TE,553386311,Oscar Gutierrez,0,0,10329,86,1,0.00,0,0.00,1,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,,TE,553388865,Shaydon Shields,0,0,4222,83,11,87.70,35,85.37,6,27,2,130,407,3.71,11.63,37.00
Dolphins,MIA,11,,HB,553388987,Jaylen Wright,2,0,10306,5,1,16.90,2,100.00,0,73,1,73,89,36.50,44.50,8.09
Dolphins,MIA,11,,WR,553388803,Malik Washington,2,0,10285,6,2,11.20,5,71.43,2,16,0,19,62,3.80,12.40,10.33
Dolphins,MIA,11,,HB,553385991,De'Von Achane,3,0,676,28,11,72.40,28,90.32,3,54,3,145,264,5.18,9.43,24.00
Dolphins,MIA,11,,WR,553388262,Wan'Dale Robinson,4,0,1924,85,6,60.90,21,95.45,1,27,3,62,219,2.95,10.43,19.91
Dolphins,MIA,11,,HB,553388886,Javonte Williams,5,0,1118,36,5,28.40,13,100.00,0,17,1,55,94,4.23,7.23,7.83
Dolphins,MIA,11,,WR,553388756,Jaylen Waddle,5,0,1374,17,10,85.20,36,100.00,0,38,0,157,492,4.36,13.67,44.73
Dolphins,MIA,11,,WR,553386151,Rashod Bateman,5,0,1236,7,9,151.80,47,90.38,5,44,6,178,688,3.79,14.64,62.55
Dolphins,MIA,11,,WR,553388840,Nick Westbrook-Ikhine,6,0,1539,18,5,44.00,14,87.50,2,92,1,149,240,10.64,17.14,48.00
Dolphins,MIA,11,,TE,553388468,Durham Smythe,8,0,9064,80,7,22.40,10,100.00,0,25,0,42,124,4.20,12.40,11.27
Eagles,PHI,12,,WR,553388363,Dylan McPherson,0,0,3404,10,6,35.50,12,92.31,1,37,1,52,175,4.33,14.58,21.88
Eagles,PHI,12,,HB,553388571,Sherrod Kitchens,0,0,3937,36,3,5.00,3,100.00,0,9,0,12,20,4.00,6.67,1.82
Eagles,PHI,12,,TE,553386798,Thomas Fidone II,0,0,10553,84,3,10.60,4,100.00,0,46,0,42,66,10.50,16.50,13.20
Eagles,PHI,12,,WR,553388923,Johnny Wilson,2,0,10301,89,5,34.80,16,100.00,0,29,0,52,188,3.25,11.75,31.33
Eagles,PHI,12,,WR,553386175,Ronnie Bell,3,0,2823,80,1,4.60,2,66.67,1,13,0,7,26,3.50,13.00,2.36
